Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
35-44 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,UK,"Employed, full-time","Developer, back-end",Pound sterling,GBP,98000.0,Yearly,123127.0,24,20,macOS,,Couchbase,,,Rust,Bash/Shell;C;C++;Erlang;Go;Java;Python,,AWS;Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,,USA,,,,,,,,10,,Linux-based;Windows,,DynamoDB;SQLite,,Flask,C++,C#;C++,,AWS,2022
55-64 years old,Man,Straight / Heterosexual,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,USA,"Employed, full-time",DevOps specialist,,,,,,19,,Linux-based;macOS,Couchbase,Cassandra;Couchbase;DynamoDB;MariaDB,ASP.NET Core ;Django;Symfony,ASP.NET,C#;C++;Java;JavaScript;Python;R,C#;C++;Java;JavaScript;LISP;Python,AWS;Google Cloud,AWS;Google Cloud;IBM Cloud or Watson,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",India,"Employed, full-time","Developer, front-end;Developer, full-stack;Designer",Indian rupee,INR,,,,13,12,Windows,MongoDB,Elasticsearch;PostgreSQL,React.js;Vue.js,Angular;Express;jQuery,Groovy,HTML/CSS;JavaScript;Kotlin;TypeScript,,,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,Canada,"Employed, full-time","Developer, desktop or enterprise applications",Canadian dollar,CAD,45000.0,Yearly,35138.0,7,1,Windows,,MySQL,React.js,Django,Clojure;HTML/CSS;JavaScript;LISP;Scala;SQL,Delphi;LISP;SQL,,,2022
35-44 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,UK,"Employed, full-time","Developer, back-end",Pound sterling,GBP,64000.0,Yearly,80409.0,18,11,macOS,Couchbase,Couchbase,,Node.js,Go;JavaScript;Rust;TypeScript,Bash/Shell;C++;Go;Java;JavaScript;PHP;Rust;SQL;TypeScript,,AWS,2022
25-34 years old,Man,Straight / Heterosexual,Indian;Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",India,"Employed, full-time","Developer, full-stack;Data or business analyst",Indian rupee,INR,100000.0,Monthly,15480.0,12,12,Linux-based;Windows,Oracle;PostgreSQL;Redis;SQLite,Oracle;PostgreSQL;Redis;SQLite,Angular;Express;Flask;Next.js;Node.js;React.js,Angular;Express;Flask;Next.js;Node.js;React.js,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,2022
25-34 years old,Man,Straight / Heterosexual,Asian;South Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer;Data or business analyst",United States dollar,USD,200000.0,Yearly,200000.0,15,11,Linux-based;macOS;Windows,Elasticsearch;PostgreSQL;Redis;SQLite,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,Flask;Next.js;Node.js;React.js,Flask;Next.js;Node.js;React.js,Go;HTML/CSS;Java;JavaScript;Python;SQL,Go;HTML/CSS;Java;JavaScript;Python;SQL,AWS,AWS,2022
25-34 years old,Man,,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,UK,"Employed, full-time",Other (please specify):,Pound sterling,GBP,60000.0,Monthly,904608.0,14,7,Linux-based;macOS,Couchbase;SQLite,Couchbase;CouchDB;Cloud Firestore;Elasticsearch;MongoDB;SQLite,jQuery;Node.js;Vue.js,jQuery;Node.js;Vue.js,Bash/Shell;C#;Erlang;Go;HTML/CSS;Java;Kotlin;Python;SQL,Bash/Shell;C#;C++;Erlang;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;Scala;SQL;Swift,AWS;Firebase;Google Cloud;Microsoft Azure,AWS;Firebase;Google Cloud;Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,132000.0,Yearly,132000.0,6,1,macOS,,Couchbase,,Angular;Express;Gatsby;Next.js;Node.js,,C++;Go;Java;JavaScript;SQL;TypeScript,,AWS;Firebase;Google Cloud;Heroku,2022
25-34 years old,Woman,Bisexual,Hispanic or Latino/a,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Chile,"Employed, full-time",Designer,,,,,,1,,macOS,MongoDB;PostgreSQL,PostgreSQL,Angular;Angular.js;Gatsby;Node.js;React.js;Svelte;Vue.js,Node.js;React.js,HTML/CSS;JavaScript;Python;Swift;TypeScript,HTML/CSS;JavaScript,,,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Other doctoral degree (Ph.D., Ed.D., etc.)",20 to 99 employees,Germany,"Employed, full-time","Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;System administrator",European Euro,EUR,7200.0,Monthly,92136.0,10,7,Linux-based,Cassandra;MongoDB;Redis,Cassandra;Elasticsearch;MongoDB;Redis,React.js,React.js,Bash/Shell;Go;Rust;TypeScript,Bash/Shell;Groovy;TypeScript,AWS,AWS;Google Cloud;Microsoft Azure,2022
45-54 years old,Man,Straight / Heterosexual,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,Germany,"Employed, full-time",Database administrator;DevOps specialist;System administrator,European Euro,EUR,155000.0,Yearly,165298.0,32,23,Linux-based,Couchbase,Couchbase,,,Go;Python,Python,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Associate degree (A.A., A.S., etc.)",,India,"Employed, full-time",Engineering manager,,,,,,3,,macOS,,Couchbase,,,Go;Java,Bash/Shell;Python,,AWS;Google Cloud,2022
35-44 years old,Man,Straight / Heterosexual,White;Hispanic or Latino/a,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,USA,"Employed, full-time","Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.);System administrator",United States dollar,USD,136000.0,Yearly,136000.0,29,15,macOS,PostgreSQL;Redis,Microsoft SQL Server;MongoDB;Redis,ASP.NET Core ,ASP.NET Core ,C#;Kotlin;SQL,C#;JavaScript;Kotlin;SQL,DigitalOcean;Microsoft Azure,DigitalOcean;Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,UK,"Employed, full-time","Developer, back-end;Developer, desktop or enterprise applications",Pound sterling,GBP,22000.0,Monthly,331692.0,7,1,macOS,Couchbase,Couchbase,Vue.js,Vue.js,Go;Java;Kotlin;Scala,Go;Groovy;Java;Python,,,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,UK,"Employed, full-time","Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Data or business analyst",Pound sterling,GBP,43000.0,Yearly,54025.0,7,5,Windows;Windows Subsystem for Linux (WSL),,,,Angular;Node.js,C++;Python,Bash/Shell;C++;HTML/CSS;JavaScript;Python;R;TypeScript,AWS,AWS,2022
18-24 years old,Man,Bisexual,White,Some college/university study without earning a degree,,USA,"Student, full-time;Employed, part-time","Developer, full-stack;Student",,,,,,2,,macOS,Neo4j;PostgreSQL;Redis;SQLite,MongoDB;MySQL;Neo4j;PostgreSQL;SQLite,ASP.NET;Django;Flask;Node.js;Nuxt.js;Svelte;Vue.js,Django;Express;FastAPI;Flask;jQuery;Node.js;Nuxt.js;React.js;Svelte;Vue.js,C;C#;Go;HTML/CSS;Java;JavaScript;Python;R;Rust;Solidity;SQL;TypeScript,HTML/CSS;JavaScript;Python;R;SQL;TypeScript,Firebase,Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",India,"Independent contractor, freelancer, or self-employed","Developer, embedded applications or devices",Indian rupee,INR,,,,7,6,Windows,,,,,Assembly;C,Assembly;C;C++,,,2022
55-64 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, back-end",United States dollar,USD,400000.0,Yearly,400000.0,48,45,macOS,Cassandra;CouchDB;DynamoDB;PostgreSQL,Elasticsearch;PostgreSQL;Redis,Django;FastAPI,Django;FastAPI;Node.js,LISP;Python,Java;Python;TypeScript,AWS,AWS,2022
18-24 years old,Woman,Gay or Lesbian,Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,USA,"Employed, full-time","Developer, embedded applications or devices",United States dollar,USD,130000.0,Yearly,130000.0,4,Less than 1 year,Linux-based;Windows;Windows Subsystem for Linux (WSL),,,,,C;C#;Python;Swift,Bash/Shell;C;Python,,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,UK,"Employed, full-time","Developer, back-end",Pound sterling,GBP,109000.0,Yearly,136947.0,30,18,macOS,Couchbase,Couchbase,,,C++;Python,C++;Python,AWS,AWS,2022
18-24 years old,Man,Straight / Heterosexual,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,UK,"Student, full-time",,,,,,,10,,,PostgreSQL;SQLite,SQLite,,React.js,Kotlin;Rust,C;C++;Dart;Go;Java;JavaScript;Kotlin;Python;Rust;TypeScript,,,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,India,"Employed, full-time","Developer, back-end",Indian rupee,INR,,Monthly,,7,7,Linux-based;Windows;Windows Subsystem for Linux (WSL),Cassandra;Elasticsearch;Neo4j;Redis,DynamoDB;Elasticsearch;MySQL;Redis,Phoenix;Ruby on Rails;Vue.js,Ruby on Rails,Elixir;Go;Ruby;Rust,Go;Java;Ruby,AWS;DigitalOcean;Linode,AWS,2022
45-54 years old,Man,Straight / Heterosexual,Prefer not to say,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,USA,"Employed, full-time","Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer",United States dollar,USD,,,,30,25,Windows,PostgreSQL,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,ASP.NET Core ;Blazor,Angular;Angular.js;ASP.NET;ASP.NET Core ;Blazor;jQuery;Node.js,C#,C;C#;C++;Java;JavaScript;Perl;PHP;PowerShell;SQL;TypeScript;VBA,Microsoft Azure,AWS;Microsoft Azure,2022
45-54 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,USA,"Employed, full-time",Other (please specify):,United States dollar,USD,200000.0,Yearly,200000.0,25,15,macOS,Couchbase;PostgreSQL,Cassandra;Couchbase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,Express;Flask;Node.js;React.js,Angular;Angular.js;ASP.NET;ASP.NET Core ;Express;jQuery;Node.js;React.js,HTML/CSS;JavaScript;Python;SQL;TypeScript,C;C#;C++;Fortran;Java;Objective-C;Swift;VBA,Google Cloud;Oracle Cloud Infrastructure,AWS;Google Cloud;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,UK,"Employed, full-time","Developer, back-end;Cloud infrastructure engineer",Pound sterling,GBP,94500.0,Yearly,118729.0,12,7,Linux-based;macOS,Couchbase,Couchbase,,,Go,Go;Java;Python;SQL,AWS;Google Cloud,AWS;Google Cloud;Microsoft Azure,2022
45-54 years old,Man,Straight / Heterosexual,I don't know,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, full-stack;Other (please specify):",Pound sterling,GBP,75000.0,Monthly,1130760.0,30,23,Linux-based;macOS,Couchbase;Elasticsearch;SQLite,Couchbase,Next.js;Node.js;Nuxt.js;React.js;Vue.js,ASP.NET;ASP.NET Core ;Flask;Node.js;Ruby on Rails;Vue.js,Bash/Shell;C#;C++;Clojure;Elixir;Erlang;F#;Haskell;HTML/CSS;JavaScript;Julia;Kotlin;LISP;PowerShell;Rust;Scala;SQL;Swift;TypeScript,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL,,,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",UK,"Employed, full-time","Developer, QA or test;Cloud infrastructure engineer",Pound sterling,GBP,33000.0,Monthly,497532.0,7,3,macOS,Couchbase,Couchbase,Node.js,Node.js,Groovy;Java;JavaScript,C++;Go;Groovy;Java;JavaScript;PHP;Python;SQL,,,2022
35-44 years old,,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,Germany,"Employed, full-time","Developer, back-end;Developer, embedded applications or devices",European Euro,EUR,,Monthly,,30,10,Linux-based,PostgreSQL;SQLite,MariaDB;MongoDB;PostgreSQL;SQLite,,,C;Rust,Bash/Shell;C;Erlang;Python;Rust;SQL,,,2022
65 years or older,Man,Straight / Heterosexual,European,Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",Germany,"Independent contractor, freelancer, or self-employed","Developer, desktop or enterprise applications",European Euro,EUR,150000.0,Yearly,159966.0,45,40,Windows,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,,,Delphi;SQL,Delphi;SQL,Microsoft Azure,Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)",10 to 19 employees,UK,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end",Pound sterling,GBP,45000.0,Monthly,678456.0,12,10,macOS,Elasticsearch;MySQL,MySQL;SQLite,Angular;jQuery;Laravel;Node.js,Angular;jQuery;Laravel;Node.js;Symfony,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,AWS,AWS,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Engineer, data;Developer, back-end",United States dollar,USD,110000.0,Yearly,110000.0,14,3,Linux-based,PostgreSQL;Redis,MongoDB;MySQL;PostgreSQL;Redis,React.js,Angular;React.js,Clojure;Julia;Rust,Clojure;Java;Rust,AWS;DigitalOcean,AWS;DigitalOcean,2022
18-24 years old,Man,Gay or Lesbian,White;North American,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, back-end",United States dollar,USD,70000.0,Yearly,70000.0,12,1,macOS,,MongoDB;MySQL;PostgreSQL;Redis,ASP.NET Core ,ASP.NET Core ;React.js,Assembly;C;C#;C++,Assembly;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;TypeScript,Microsoft Azure,Microsoft Azure,2022
55-64 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,USA,"Employed, full-time",Other (please specify):,United States dollar,USD,,,,38,32,Linux-based;macOS,Couchbase,Couchbase,Angular;Node.js,Angular;Angular.js;Laravel;Node.js;React.js,Bash/Shell;C;C++;Go;Java;Python;SQL;Swift,Bash/Shell;C;C#;C++;Go;Java;JavaScript;Python;SQL;Swift;TypeScript,AWS;Google Cloud;Microsoft Azure,AWS;Microsoft Azure;VMware,2022
25-34 years old,Man,Gay or Lesbian,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,UK,"Employed, full-time","Developer, back-end",Pound sterling,GBP,,Yearly,,14,4,Linux-based;macOS,Couchbase,Couchbase,,Django;jQuery,Assembly;Bash/Shell;C;C++;Python,Assembly;Bash/Shell;C;C#;C++;Erlang;Go;Groovy;HTML/CSS;Java;JavaScript;Python,DigitalOcean;OpenStack,AWS;DigitalOcean,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,India,"Employed, full-time","Data scientist or machine learning specialist;Developer, back-end",Indian rupee,INR,4500000.0,Yearly,58037.0,8,5,macOS,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Django;FastAPI;Next.js;Nuxt.js;Phoenix;Svelte,Django;FastAPI,Elixir;Python;Rust;TypeScript,Python;Rust;TypeScript,AWS,AWS;Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,African;Black,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Student, full-time;Not employed, and not looking for work",,,,,,,4,,macOS,,Neo4j;PostgreSQL,,Deno;Node.js;React.js;Svelte,APL;Bash/Shell;Clojure;Erlang;LISP;Lua;Python;Ruby,Bash/Shell;C;Clojure;Dart;Erlang;HTML/CSS;Java;JavaScript;LISP;Lua;Python;Rust;SQL;Swift;TypeScript,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,USA,"Employed, full-time",Other (please specify):,United States dollar,USD,,,,10,3,,,,,,Rust,Groovy;Java;Python;Rust,,AWS,2022
45-54 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, full-stack;Developer, desktop or enterprise applications",United States dollar,USD,,,,39,27,Windows,,,,,C#;Go;PowerShell,C#;HTML/CSS;JavaScript;Python,Microsoft Azure,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White;North American,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",United States dollar,USD,100000.0,Yearly,100000.0,14,4,Linux-based,,,,,Bash/Shell;Java;Kotlin;Rust,Bash/Shell;C++;Java;Python,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack;Developer, back-end;Developer, QA or test",United States dollar,USD,120000.0,Yearly,120000.0,15,10,Windows,MongoDB;PostgreSQL,Microsoft SQL Server,ASP.NET Core ;Blazor,Angular.js;ASP.NET;ASP.NET Core ;Node.js,C#;F#;JavaScript;Swift,C#;JavaScript;PowerShell,,,2022
,Man,Straight / Heterosexual,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, full-stack;Engineering manager",United States dollar,USD,,,,32,32,Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),Couchbase,Couchbase;DynamoDB;Elasticsearch;MongoDB,Vue.js,ASP.NET;Laravel;Node.js;Ruby on Rails;Vue.js,C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Rust;Swift,Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Objective-C;Swift,AWS,AWS;Google Cloud;Microsoft Azure,2022
25-34 years old,Man,Bisexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,48000.0,Yearly,60307.0,11,8,Windows,Microsoft SQL Server,Microsoft SQL Server,ASP.NET Core ;React.js,Angular;ASP.NET Core ,C#;HTML/CSS;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,,,2022
35-44 years old,Man,Straight / Heterosexual,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,USA,"Employed, full-time",Product manager,,,,,,24,20,macOS;Windows,Couchbase,Couchbase,Express;Node.js;React.js;Vue.js,Express;Node.js;React.js;Vue.js,Kotlin;PHP,APL;C#;Java;JavaScript;Python;SQL;TypeScript,AWS,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, front-end",United States dollar,USD,100000.0,Yearly,100000.0,12,9,Windows,,,Next.js;Svelte,ASP.NET Core ;Next.js;React.js,HTML/CSS;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,AWS,Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,UK,"Employed, full-time","Developer, full-stack;Student",Pound sterling,GBP,22000.0,Yearly,27641.0,3,Less than 1 year,macOS,Couchbase;Elasticsearch;Redis,Couchbase,Angular;Angular.js;Django;Flask;Next.js;Node.js;React.js;Ruby on Rails;Svelte;Vue.js,Flask;Vue.js,C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Python;Ruby;Rust;SQL;TypeScript,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Python;SQL,AWS;Google Cloud;Microsoft Azure,AWS;Google Cloud;Microsoft Azure,2022
